text,label
giá sao shop,shopping
cái này bn,shopping
nhiêu tiền vậy,shopping
bao tiền cái này,shopping
inbox giá giúp m,shopping
ib giá nha,shopping
túi này còn màu đen không,shopping
dép này còn size 39 k,shopping
cho e lấy cái màu trắng,shopping
đặt hàng sao shop,shopping
chốt đơn cho e,shopping
mình lấy 2 cái này,shopping
lên đơn cho m nha,shopping
có sẵn ko hay order,shopping
túi này vừa a4 ko,shopping
dép cao mấy phân,shopping
còn hàng ko shop,shopping
mẫu này còn k,shopping
cho m đặt cái này,shopping
ship cod nha,shopping
check đơn giúp e,shopping
đơn của e tới đâu r,shopping
bao giờ thì nhận được hàng,shopping
tra mã vận đơn ở đâu,shopping
hủy đơn giúp e,shopping
e muốn đổi size,shopping
giao lộn hàng rồi shop ơi,shopping
muốn trả hàng thì sao,shopping
cái này chất liệu gì,shopping
da có bị tróc ko,shopping
đế êm ko,shopping
form chuẩn hay form nhỏ,shopping
e mang size 38 thì lấy size nào,shopping
tư vấn size giúp e,shopping
thêm vào giỏ hàng ko đc,shopping
áp mã fs sao v,shopping
mua cái này,shopping
lấy e mẫu này,shopping
ship về q1 bao nhiêu,shopping
giao hỏa tốc đc ko,shopping
hàng lỗi rồi shop ơi,shopping
nhận hàng bị rách,shopping
đổi qua màu khác đc ko,shopping
màu ở ngoài có giống hình ko,shopping
xin ảnh thật,shopping
cho xem video thật đi,shopping
hàng chuẩn y hình chứ,shopping
cái này mang đi mưa đc ko,shopping
túi này đựng đc đt ko,shopping
size túi bao nhiêu cm,shopping
kích thước túi ntn,shopping
chiều dài bao nhiêu,shopping
có dây đeo chéo ko,shopping
quai có chỉnh đc ko,shopping
đế cao bao nhiêu cm,shopping
tăng size hay lùi size,shopping
giày form to hay nhỏ,shopping
hàng loại 1 hay loại 2,shopping
có hộp ko,shopping
được kiểm hàng ko,shopping
mình ck r nha,shopping
kiểm tra ck giúp m,shopping
số tk shop là gì,shopping
giao hàng chậm quá,shopping
shiper chưa gọi cho e,shopping
đổi địa chỉ nhận hàng,shopping
đổi sđt nha,shopping
có tính phí ship k,shopping
fs ko shop,shopping
phí ship đắt v,shopping
hỗ trợ ship ko,shopping
mua 2 đôi có giảm ko,shopping
combo 3 cái giá sao,shopping
sỉ từ mấy cái,shopping
lấy 10 cái có giá sỉ k,shopping
để e 1 đôi,shopping
để m 1 chiếc,shopping
còn đôi nào size 40 k,shopping
có màu hồng ko,shopping
có màu be ko,shopping
hết màu đen r à,shopping
khi nào có màu trắng lại,shopping
restock chưa shop,shopping
cho m xem mấy mẫu túi đi tiệc,shopping
có giày thể thao ko,shopping
xin mẫu giày chạy bộ,shopping
có túi tote ko,shopping
gửi m vài mẫu dép lê,shopping
tư vấn vài mẫu đi biển,shopping
mình cần túi đựng laptop 15 inch,shopping
mua cho mẹ 50 tuổi hợp ko,shopping
có quà tặng kèm ko,shopping
gói quà giúp m đc ko,shopping
che tên sp nha,shopping
hủy giúp e đơn cũ e đặt lại,shopping
đặt lại màu khác rồi nha,shopping
sao đặt k đc ta,shopping
app bị lỗi à,shopping
shop tự lên đơn giúp e nha,shopping
giao đến 123 nguyễn trãi,shopping
giao về cần thơ nha,shopping
mai giao luôn đc k,shopping
cần gấp trong chiều nay,shopping
thứ 7 cn có giao k,shopping
chưa thấy shipper gọi,shopping
mình bận ko nhận đc,shopping
hẹn lại ngày mai giao nha,shopping
cho shiper sđt này nha,shopping
có cho thử k,shopping
nhận hàng mở ra xem đc ko,shopping
không vừa trả lại cho shiper đc k,shopping
hoàn tiền bao lâu nhận đc,shopping
tiền chưa hoàn về tk,shopping
thẻ visa thanh toán đc k,shopping
thanh toán bằng momo đc k,shopping
có trả góp qua thẻ tín dụng k,shopping
bảo hành mấy tháng,shopping
đứt quai có sửa đc k,shopping
bung keo dán lại đc k,shopping
da bị nổ thì sao,shopping
có gửi phụ kiện thay thế k,shopping
túi xách này nặng k,shopping
mang có bị đau chân k,shopping
đế có trơn trượt k,shopping
giày đi có êm k,shopping
phần cứng mạ vàng hay bạc,shopping
có dây xích ko,shopping
khóa kéo hay nút bấm,shopping
bên trong có mấy ngăn,shopping
có ngăn kéo nhỏ ko,shopping
đựng vừa ví dài ko,shopping
đựng vừa iphone pro max ko,shopping
màu be ở ngoài có bị xỉn ko,shopping
hàng qchau hay vnam,shopping
có tag ko,shopping
có bill ko,shopping
chuẩn auth k,shopping
fake đền x10 nha,shopping
mua lần 2 có giảm giá ko,shopping
khách quen có fs ko,shopping
xin feedback của khách,shopping
cho m xin rì viu,shopping
mã sp này là gì,shopping
gửi link sp cho m,shopping
tìm mã này ko ra,shopping
sp này bị xóa r à,shopping
sao giá lại tăng r,shopping
hôm qua thấy 100k h lên 150k à,shopping
sale đến khi nào,shopping
hôm nay còn sale ko,shopping
săn flash sale ko kịp,shopping
áp voucher đc k,shopping
sao mã fs k dùng đc,shopping
lỗi áp mã,shopping
m mua 1 cái đen 1 cái trắng,shopping
đổi 1 cái màu xanh nha,shopping
đừng lấy hàng lỗi nha shop,shopping
kiểm tra kỹ trước khi giao nha,shopping
đóng gói đẹp xíu để đi tặng,shopping
cho xin sđt shiper,shopping
đang cần gấp giục ship giùm,shopping
địa chỉ kho ở đâu m qua lấy,shopping
đến trực tiếp mua đc k,shopping
mở cửa tới mấy h m ghé,shopping
thử trực tiếp đc ko,shopping
qua shop quẹt thẻ đc k,shopping
có thanh toán quét mã k,shopping
mua trực tiếp có rẻ hơn k,shopping
chất vải gì v,shopping
vải oxford à,shopping
da tổng hợp hay da thật,shopping
có sợ bị mốc k,shopping
bảo quản giày ntn,shopping
giặt máy đc k,shopping
có bị phai màu ko,shopping
có bị lem màu ko,shopping
hàng này giặt tay hay giặt máy,shopping
ủi đc ko,shopping
bị nhăn làm sao,shopping
vệ sinh túi bằng gì,shopping
có bán chai xịt tẩy ko,shopping
tặng kèm xi đánh giày ko,shopping
mình cần tư vấn,shopping
giúp mình với,shopping
bạn ơi tư vấn mình đôi giày,shopping
mình muốn mua hàng,shopping
mua cái này nha,shopping
túi phong cách Hàn Quốc shop có không,shopping
giày kiểu Hàn giá rẻ mà đẹp,shopping
balo vintage Hàn Quốc còn hàng không,shopping
phụ kiện aesthetic giá sinh viên,shopping
túi tote phong cách ulzzang,shopping
giày thể thao phong cách đường phố,shopping
túi đeo chéo streetwear nam,shopping
balo phong cách Nhật Bản,shopping
dép sandal kiểu Hàn mùa hè,shopping
túi bucket bag phong cách thời trang,shopping
giày platform vintage còn size 37 không,shopping
có túi mini bag không shop,shopping
túi đan lát phong cách boho,shopping
giày chunky sole còn không,shopping
phụ kiện y2k shop có bán không,shopping
túi canvas phong cách học sinh Hàn,shopping
có dép bitis hunter không,shopping
giày thể thao local brand nào đẹp,shopping
túi crossbody mini giá bao nhiêu,shopping
có bán phụ kiện đồng bộ không shop,shopping
